Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1113541622.0,06-01-2024,50.6,-50.6,457258.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,7.0,295.19028
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116818529.0,12-01-2024,50.6,-50.6,457258.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,6.0,253.02024
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1120649063.0,19-01-2024,50.6,-50.6,457254.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,5.0,210.8502
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1140276627.0,25-02-2024,50.6,-50.6,457258.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,4.0,168.68016
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1144108013.0,03-03-2024,50.6,-50.6,457258.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,3.0,126.51012
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1147522813.0,09-03-2024,50.6,-50.6,457258.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,2.0,84.34008
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1152819413.0,20-03-2024,50.6,-101.2,457258.0,BOX,Issue to Patient,2.0,42.17004,-84.34008,0.0,0.0
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1180233152.0,15-05-2024,50.6,-101.2,457267.0,BOX,Issue to Patient,2.0,42.17004,-84.34008,8.0,337.36032
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1182035457.0,19-05-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,7.0,295.19028
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1184868000.0,23-05-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,6.0,253.02024
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,Rayan Hospital,RYN_IP,REP9665,1188863503.0,30-05-2024,50.6,-50.6,457267.0,BOX,Intransit Shipment,1.0,42.17004,-42.17004,5.0,210.8502
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1188897001.0,30-05-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,4.0,168.68016
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1191771593.0,04-06-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,3.0,126.51012
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1192823478.0,06-06-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,2.0,84.34008
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1193848852.0,08-06-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,1.0,42.17004
6100090011,DICYNONE 500 MG TAB 20'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1197152723.0,13-06-2024,50.6,-50.6,457267.0,BOX,Issue to Patient,1.0,42.17004,-42.17004,0.0,0.0
