Item Code,Description
6100010058,DILZEM RETARD 90 MG TAB 30'S
6070010019,DETTOL SOAP SKIN CARE 165 GM
6280020010,AVALON AVOQUIN 4% CR 50 G
6100010042,CARDURA 1 MG TAB 20'S
6100080020,ISOBID 20 MG CAP 20'S
6240090060,CYCLOGEST 200 MG VO 15'S
6240090061,CYCLOGEST 400 MG VO 15'S
6200030001,DAKTARIN 2% ORAL GEL 40 G
6240040053,DAONIL 5 MG -(GLIBENCLAMIDE) TAB 30'S
6090090049,DEPAKINE 57.64 MG/ML SYR 150 ML
6090090050,DEPAKINE 200 MG TAB 40'S
6090090051,DEPAKINE 500 MG TAB 40'S
6070030022,DETTOL LIQUID-125ML(1CAR=48PCS)
6070030026,DETTOL PERSONAL CARE-250ML
6070030027,DETTOL PERSONAL CARE-500ML
6070010043,DETTOL SOAP ORIGNAL 120 GM
6070010033,DETTOL SOAP FRESH 70 GM
6100090011,DICYNONE 500 MG TAB 20'S
6040030010,JJ BABY JELLY UNSCENTED-100GM
6040030011,JJ BABY JELLY-250GM
6040060006,JJ BABY OIL-300ML(ALOE VERA)
6060010206,JJ PURE PETRO.JELLY-100GM
6060010207,JJ PURE PETRO.JELLY-250GM
6100010124,SORTIVA H 100/25 MG TAB 30'S
6100080021,ISOBID 40 MG CAP 20'S
6100010125,SORTIVA H 50/12.5 MG TAB 30'S
6100010122,SORTIVA FORTE 100 MG TAB 30'S
6040060004,JJ BABY OIL-200ML
6040060005,JJ BABY OIL-300ML
6040060007,JJ BABY OIL-500ML
6040070006,JJ BABY POWDER-100GM
6040070007,JJ BABY POWDER-200GM
6040060003,JJ BABY OIL GEL BLOSSOM - 200ML
6280040029,CC BLACK HEAD ASTRINGENT - 200ML
6040050033,JJ BABY SOAP-125GM
6040010009,JJ COTTON BUDS-100'S
6040010010,JJ COTTON BUDS-200'S
6060010205,JJ BODY CREAM MOIST 24HR 200 ML
6090040020,BETASERC 16 MG TAB 40'S
6090040021,BETASERC 8 MG TAB 100'S
6240020008,HUMULIN 70/30 VIAL 10 ML 1'S
6240020009,HUMULIN N VIAL 10 ML 1'S
6240020010,HUMULIN R VIAL 10 ML 1'S
